Index,arXiv ID,Keywords
18,2406.13671v1,"Topological Equivalence Theorem, Double-Copy, Chern-Simons gauge theories, Mass-generation, Scattering amplitudes, Transverse states, Energy cancellation mechanism, N-point physical gauge boson amplitudes, Massive graviton amplitudes, Nonrelativistic limit"
19,2406.13643v1,"Nambu-Goldstone fields, Effective field theory, Coordinate-free formulation, Symmetry considerations, Classical field theory, Effective Lagrangian, Lorentz-symmetry breaking, Order parameter, Symplectic structure, Field space"
20,2406.13624v1,"Generalized W algebras, Infinite-dimensional W algebras, Commutative subalgebra, W_1+∞ algebra, Ward identities, WLZZ matrix models, W-operators, Variables p_k, Derivation, Illustrative examples"
21,2406.13594v1,"Supergeometric Quantum Field Theories (SG-QFTs), Fermionic curvature, Schwinger-DeWitt heat-kernel technique, Effective-field-theory (EFT) operators, Spacetime derivatives, Multiplicative anomalies, Diffeomorphically invariant, Configuration space, Higher-loops, Phenomenological directions"
22,2406.13575v1,"Renormalization group flows, Emergent symmetries, Quantum theory, Biased symmetry, Fixed hypersurface, Phenomenological implications, Supersymmetric models, Gauge theories, Massive gravity, Non-abelian gauge theories"
23,2406.13574v1,"Scalar sector, Myers and Pospelov model, Dimension 5 operator, Lorentz symmetry, TFD formalism, Topological field theory, Thermal effects, Size effects, Casimir effect, Stefan-Boltzmann law"
24,2406.13571v1,"Wilson lines, N=4 Chern-Simons-matter theories, correlation functions, local operator insertions, defect CFT, superdisplacement multiplet, weak-coupling realizations, superspace description, 4-point functions, analytic bootstrap approach"
25,2406.13461v1,"Kalb-Ramond gravity, Schwarzschild-like black hole, Lorentz symmetry, Spherically symmetric black holes, Cosmological constant, Field equations, Bekenstein-Smarr mass formulas, AdS black hole, Isoperimetric inequality, Parameter space"
26,2406.13364v1,"Operator algebra, Quantum entanglement , Emergent geometry, Matrix degrees of freedom, Gravitational geometry, Super Yang-Mills theory, Adjoint scalars, Wave packets, Bulk geometry, Traversable wormhole"
27,2406.13314v1,"Wilson line, Gluodynamics, Quantum corrections, Yang-Mills action, Loop level, Triple gluon vertices, Tree-level split-helicity amplitudes, One-loop effective action method, Interaction vertices, Quantum completeness"
28,2406.13287v1,"Unitarity method, Holographic defects, Loop-level, Correlators, 6d 𝒩=(2,0) theories, 1/2-BPS surface defects, Holographic two-point function, One loop, Lower order data, Loop corrections"
29,2406.12990v1,"Quantum circuit complexity, Unitary time evolution operator, Time-independent Hamiltonian, Fundamental gates, Cost metric, Commutation algebra, Linear growth rate, Qubit systems, Harmonic oscillator systems, Scalar field theories"
30,2406.12987v1,"Derivative four-fermion model, Effective action, Bumblebee generation, One-loop effective potential, Radiatively generated potential, Finite temperature case, Phase transitions, Restoration of Lorentz symmetry, Low-energy effective action, Kinetic term"
31,2406.12974v1,"Bounding irrelevant operators, 3d Gross-Neveu-Yukawa CFTs, Numerical bootstrap study, Critical 3d Gross-Neveu-Yukawa models, Conformal field theories, Majorana fermions, O(N) global symmetry, Scaling dimensions, Parity-even and parity-odd singlet scalars, RG flow structure"
32,2406.12958v1,"Unimodular gravity, Cosmological constant (CC), Quantum physics, Quadratic gravity, Background-independent, Inflationary quantum observables, Dark energy, Multiverse, Big bang, Anthropic principle"
33,2406.12959v1,"Tree-level string theory, Maximal supergravities, EFT coefficients, On-shell coupling, 2 → 2 supergraviton scattering, Type II string theory, Extremal solution, Bootstrap problem, Linear Regge trajectory, Supergluon scattering"
34,2406.12851v1,"Generalized entropy, AdS, Holographic entanglement entropy, Quantum corrections, Von Neumann entropy, U(1) current, Large-N, Strongly-coupled CFT, Einstein gravity, Entanglement wedge"
35,2406.12826v1,"Poincaré gauge theory, Conformal, Dynamical vector torsion, Einstein-Cartan theory, Modified gravity, Ghosts, Klein-Gordon theory, Scale-invariant theories, Slowly-rolling inflaton, Quantum particles"
36,2406.12772v1,"QCD Phase Diagram, Magnetic Field, Chemical Potential, Holographic Approach, Neural Networks, Lattice QCD data, Phase Transition, Critical Endpoint, Critical Exponents, Mean-Field Theory"
37,2406.12713v1,"Scattering amplitudes, Massive Kaluza-Klein (KK) states, Warped space, Equivalence theorems, Gauge theory, Gravity theory, Longitudinal KK gauge bosons, Helicity-zero gravitons, Double-copy construction, High energy expansion"
38,2406.12704v1,"Quantum Kerr Black Hole, Matrix Theory, Quantum Gravity, Non-commutative Coordinates, Noncommutative Geometry, Fuzzy Sphere, Fuzzy Ellipsoid, Boyer-Lindquist Coordinates, Fermi Sea, Bekenstein-Hawking Entropy"
39,2406.12523v1,"Exact Renormalization Group Equation (ERGE), Local Potential Approximation (LPA), Polchinski's ERG flow equation, Wilson's Renormalization Group program, Coarse-graining, Heat equation, Bosonic fields, Fermionic fields, Logarithmic interactions, Fixed points"
40,2406.12464v1,"Conformal anomalies, Renormalized stress-tensor correlators, Non-conformal theories, Weyl anomaly, Dimensional regularization, Curved background, Scalar field, Quartic self-interaction, Two-loops, Renormalized expectation values"
41,2406.12341v1,"Soliton fields, Goldstone boson model, Massless Goldstone bosons, Spontaneous symmetry breaking, Nonlinear equations, Exact solitonic solutions, Energy density, Modulated solitonic waves, Charge density, Massive bosons"
42,2406.12151v1,"Tambara-Yamagami (TY) fusion category, 2-dim QFT, Abelian group, Non-invertible symmetries, Gauge theory, Anyon permutation symmetries, SymTFT, G-ality defects, Triality, Group-theoretical fusion categories"
43,2406.12075v1,"Lattice field theories, O(2) = U(1)⋊ℤ_2 gauge theory, Villain formulation, Gauging charge conjugation symmetry, Gauge-invariant non-local operators, Wilson lines, 't Hooft lines, Non-invertible symmetry operators, Higher-group symmetries, Dynamical magnetic monopoles"
44,2406.11964v1,"Dualities, Categorical Structures, 2D, PhD Thesis, Dissertation, January 2024, Repository, Cam.ac.uk, Official, Version"
45,2406.11956v1,"Weyl-invariant Einstein-Cartan gravity, Strong CP-problem, Hierarchy puzzles, Particle physics, Standard Model, Graviton, Axion-like particle, Gauge coupling constants, Higgs boson, Majorana leptons"
46,2406.11804v1,"Ehlers transformation, Doubly rotating black ring, Five-dimensional vacuum Einstein theory, Schwarzschild black hole, Myers-Perry black hole, Dirac-Misner string singularity, Regular solution, Curvature singularities, Conical singularities, Pomeransky-Sen'kov solution"
47,2406.11561v1,"Quiver Polymerisation, 3d N=4 quiver gauge theories, Chain and cyclic quiver polymerisation, Coulomb branch, SU/U(k) hyper-Kähler quotient, Kronheimer-Nakajima quivers, ADHM construction, 6d N=(1,0) theory, M5 branes, SO(7)"
48,2406.11557v1,"Holographic, Spectral function, Fermion, Instantonic plasma, Gauge-gravity duality, D(-1)-D3 brane system, D-instanton, Gluon condensate, Green function, AdS/CFT dictionary"
49,2406.11475v1,"Expansion by regions, Multiloop Feynman integral, Kinematic invariants, Masses, Scaling, Small parameter, Geometrical language, Prescriptions, Strategy, Examples"
50,2406.11320v1,"Brownian Gaussian Unitary Ensemble (BGUE), Non-equilibrium dynamics, Spectral form factor, Out-of-time-order correlators (OTOC), Rényi entropy, Frame potential, Hyperfast scrambling, Temperature, Replica-wormhole-like contributions, Shadow tomography"
51,2406.11304v1,"M5-branes, Flux quantization, Non-perturbative phenomena, 3-form flux density, Higher gauge field, Cohomology, Super-spacetime, Super-embedding, Bulk fluxes, Solitons"
52,2406.11170v1,"Linear-T resistivity, SYK model, Random coupling, Yukawa interaction, Vector field, Scalar interaction, (2+1) dimension, Spatial random disorder, Fermi liquid, Strange metal"
53,2406.11078v1,"2D QCD, Integrability, Large Nc, Lagrangian, Bethe-Salpeter equation, Meson spectrum, TQ-Baxter equation, Transfer matrix, Asymptotic expansion, Multi-critical points"
54,2406.11031v1,"Entanglement, (1+1)-dimensional, Free scalar field theory, Entanglement entropy, Formalism, Discretized theory, Continuous theory, Entanglement spectrum, Modular Hamiltonian, Rindler wedge"
55,2406.11001v1,"𝒩=1 SUGRA, supermultiplet, graviton, gravitino, BCFW, KLT formulations, 4-point couplings, SUGRA Compton effect, lagrangian, 2-component Weyl formalism"
56,2406.10968v1,"Black Hole Singularity, Timelike Entanglement, Entanglement Entropy, AdS/CFT Correspondence, Curvature Singularity, Analytically Tractable Example, Holographic Timelike Entanglement Entropy, Complex Saddle Points, Lewkowycz-Maldacena, Assumptions"
57,2406.10967v1,"Entanglement entropy, Topological defects, Symmetric orbifold CFTs, M^N/S_N, Universal defects, Non-universal defects, Rep(S_N) non-invertible symmetry, Sub-leading defect entropy, G-factor, Boundary entangling surface"
58,2406.10955v1,"Double copy, Geometry, Color-kinematics duality, Nonlinear sigma models, Nonsymmetric cosets, Curvatures, Field space, Kinematics, Galileon theory, Evidence"
59,2406.10899v1,"Heating phase, Floquet CFTs, Modular quantization, Periodically driven CFTs, Modular Hamiltonian, Bulk dual, Ryu-Takayanagi surface, AdS-Rindler wedge, Entanglement entropy, Virasoro algebra"
60,2406.10879v1,"Stretched horizon, Conformal Field Theory, Hartle-Hawking correlators, BTZ stretched horizon background, AdS-Rindler, Hilbert space, Virasoro algebra, Entanglement entropy, Microcanonical entropy, Thermal physics"
61,2406.10875v1,"AdS superspaces, five dimensions, quadric, geometric description, bi-supertwistor, N-extended AdS superspace, super-invariants, superparticle, AdS isometry, supergroup"
62,2406.10672v1,"Large-N Gauge Theories, Polyakov Loops, Finite Temperature, Deconfinement Phases, Yang-Mills (YM) Theories, Imaginary Chemical Potentials, Effective Potentials, Z_m Phase, Phase Diagrams, Monte-Carlo Calculations"
63,2406.10643v1,"Reissner-Nordström black holes, Gauged scalar hair, Mayo-Bekenstein no-hair theorem, Einstein-Maxwell theory, Dyonic configurations, Magnetic charge, Scalar multiplets, Spherically symmetric solutions, Electrically charged black holes, Solitonic limit"
64,2406.10518v1,"6d self-dual gauge theory, 2-form gauge field, Axion-electrodynamics, Chern-Weil (CW) symmetry, Green-Schwarz-West-Sagnotti (GSWS) term, Anomaly cancellation, Global symmetries, Gauge invariant action, Discrete 1-form symmetry, Higher-group structure"
65,2406.10483v1,"QCD-Gravity, double-copy relation, inclusive gluon radiation, shock wave collisions, ultrarelativistic nuclei, graviton radiation, trans-Planckian, gravitational shock wave propagators, general relativity, renormalization group approach"
66,2406.10458v1,"Kerr black holes, N = 2 supergravity, Love numbers, Soft hair descriptions, Scalar-Kerr scattering amplitudes, SL(2, R) symmetry, SO(4, 2) symmetry, Near-horizon geometry, Thermodynamic properties, Quasinormal spectra"
67,2406.10353v1,"Light-cone formulation, Quantum field theories, Poincaré algebra, Carroll algebra, Bargmann algebra, Galilean algebra, Hamiltonian, Magnetic Carroll type, Lorentzian field theories, Light front"
68,2406.10330v1,"Domain wall, Cosmology, Scaling regimes, Spontaneous breaking, Tachyonic field, Correlation length, Relativistic scaling, Cosmological scaling, Power-law scale factor, Dimensionality"
69,2406.10220v1,"Dispersion relation, Lorentzian inversion, 1d CFT (1-dimensional conformal field theory), Four-point function, Crossing symmetric kernel, Scaling dimension, Analytic functionals, Holographic correlators, Planar 𝒩=4 super Yang-Mills, t'Hooft coupling"
70,2406.10186v1,"Impurities, Cusp anomalous dimension, Conformal field theories (CFTs), Partition function, Effective field theory, Casimir energy, Wilson lines, Pinning field defects, Ising model, O(N) model"
71,2406.10176v1,"Brower-Goddard extension, Veneziano, Virasoro-Shapiro, Koba-Nielsen integrals, d-dimensional conformally invariant integrals, polynomial residues, high energies, Kawai-Lewellen-Tye (KLT) formula, tachyons, unitarity"
72,2406.10170v1,"Inflaton potential, Asymptotic Safety Hypothesis, interacting fixed point, Wilsonian renormalization group flow, UV completion, Scalar-tensor models, Cosmological inflation, RG flow equations, Effective potentials, Slow-roll model"
73,2406.10169v1,"Relic gravitons, Entangled states, Maximal frequency, THz limit, Chirp amplitudes, Quantumness, Multiparticle final states, Coherence, Entanglement entropy, Cosmic microwave background"
74,2406.10051v1,"Schottky-Kronecker forms, Hyperelliptic polylogarithms, Riemann surface, Schottky parametrization, Genus-one, Knizhnik-Zamolodchikov connection, Poincaré series, Enriquez, Numerical evaluation, Genus-two polylogarithms"
75,2406.10037v1,"De Sitter geometric inflation, Dynamical singularities, Friedmann equation, Higher curvature corrections, Inflationary phase, Dynamical function, Cosmological dynamics, Framework of geometric inflation, Infinite series, Emergence"
76,2406.09811v1,"Spectral Curve, Homogeneous Yang-Baxter, AdS_5× S^5 superstring, Jordanian, TsT deformation, Type IIB supergravity, Isometry algebra, Supercharges, Non-relativistic conformal algebra, Bethe Ansatz"
77,2406.09752v1,"Swampland Bounds, Magnetized Extra Dimensions, U(1) gauge theory, Chiral fermions, Flux quantization number, Compactification scale, String scale, Weak Gravity Conjecture, Trans-Planckian Censorship Conjecture, Theory parameters"
78,2406.09673v1,"Information retrieval, Black hole final state model, Scrambling interactions, Collapsing matter, Infalling Hawking radiation, Scrambling unitary operator, Black hole evaporation, Yoshida-Kitaev decoding strategy, Unitarity, Framework"
79,2406.09626v1,"Complex Symplectic Contractions, 3d Mirrors, Magnetic Quivers, Implosions, Moore-Tachikawa Category, Computational Checks"
80,2406.09515v1,"Interpolating gauge-fixing, Yang-Mills-Chern-Simons theory, D=3, Minkowski space-time, Covariant gauge, Light-cone gauge, Ultraviolet finiteness, Becchi-Rouet-Stora (BRS) algebraic renormalization procedure, β-functions, Anomalous dimensions"
81,2406.09508v1,"String Theory, Critical String Theory, Bosonic String, Superstrings, Heterotic Strings, Spacetime Supersymmetry, Open Strings, D-branes, Orientifold Constructions, Ten Dimensions"
82,2406.09500v1,"PSALTer, Particle Spectrum, Tensor Lagrangian, Wolfram Language, Lagrangian density, Minkowski vacuum, Spin-projection operators, Gauge symmetries, High-performance computing, xAct project"
83,2406.09503v1,"Kaluza-Klein model, Geodesic motion, Test particles, Gauge fields, Higgs-like scalar fields, Spacetime, Massive gauge fields, Bosons, Particle mass, Higher dimensions"
84,2406.09497v1,"Statistical matter, Non-relativistic limit, NS-NS supergravity, Kinetic theory, String dualities, T-duality, Viscous fluid, Perfect fluid technology, Many-strings system, Reformulation"
85,2406.09261v1,"Surface Defects, 2+1d QFTs, Gauging, Duality Defects, Fusion 2-category, Topological Field Theory, U(1)× U(1) gauge theories, Product theories, Non-Lagrangian theories, 6d =(2,0) SCFTs"
86,2406.09259v1,"Freudenthal duality, Conformal field theory, Rotational Freudenthal duality (RFD), Kerr-Newman black holes (BHs), Bekenstein-Hawking entropy, Kerr/CFT correspondence, Four-dimensional asymptotically flat extremal KN BH, Two-dimensional conformal field theory (CFT), Cardy entropy, Central charges"
87,2406.09213v1,"Charged massive spin-2, Charged massive spin-3/2, Electromagnetic background, Equations of motion, Euler-Lagrange equations, Lagrangian, Open superstrings, Trace, Covariant derivative, Propagation"
88,2406.09212v1,"Curvature-assisted quintessence, Single-field models, Cosmic inflation, Late-time cosmic acceleration, String theory evidence, De Sitter swampland constraints, Open universe, Dynamical systems analysis, Bayesian statistical inference, Quintessence models"
89,2406.09171v2,"Schur Quantization, Complex Chern-Simons theory, Supersymmetric Quantum Field Theory, K-theoretic Coulomb branch, Complex symplectic manifold, Character varieties, Deformation quantization, Gelfand-Naimark-Segal construction, Half-BPS line defects, Chern-Simons gauge theory"
90,2406.09165v1,"Gluon scattering, Self-dual dyon, Scattering amplitudes, Background gauge fields, Quantum field theory, Chiral backgrounds, Tree-level scattering amplitude, Twistor theory, Integrability, Celestial OPE coefficients"
91,2406.09151v1,"Swampland conjecture, AdS_3 gravity, Higher spin fields, Weak gravity conjecture, Mass, Charge, Coupling constant, SO(1,2) quadratic Casimir, M_Pl (Planck mass), l_AdS_3 (AdS radius)"
92,2406.09086v1,"Kerr black hole, gravitational Compton amplitude, classical one-loop integrand, spin, unitarity, Teukolsky solutions, eikonal, aligned-spin, covariant proposal, maximal cut"
93,2406.09033v1,"Conformal field theories, Entangled state, Von Neumann entropy, Quantum entanglement, Entanglement wedge cross-section, AdS spacetime, Holographic dual, Entanglement of purification, Entanglement entropy, Phase transition"
94,2406.09027v1,"Subregion holography, OPE blocks, AdS_3 bulk fields, CFT operator product expansion, Entanglement wedge representation, Boundary operators, Causal diamond, De Sitter, Euclidean OPE blocks, Pseudo-entropy"
95,2406.08995v1,"N = 1 SUSY Yang-Mills, Gluino condensate, Non-perturbative, Large N, Numerical simulations, Lattice-discretized theory, Banks-Casher formula, Gell-Mann-Oakes-Renner relation, Novikov-Shifman-Vainshtein-Zakharov (NSVZ) regularization, Instanton-based approach"
96,2406.08970v1,"Stabilization, Twisted modulus, Mirror, Rigid Calabi-Yau manifold, Type IIB flux compactifications, Effective action, Three-form fluxes, Tadpole cancellation conditions, Supersymmetric AdS vacua, Swampland conjectures"
97,2406.08969v1,"Yang-Mills amplitudes, Factorization pattern, Tree-level, Mandelstam variables, Lorentz products, Polarization vectors, Currents, Fundamental quantities, Decompose, Rectangular configuration"
98,2406.08793v1,"Charged AdS black hole, Topological properties, Thermodynamics, Phase space, Winding numbers, Dual parameters, Canonical ensemble, Grand canonical ensemble, Dimension, Lanczos-Lovelock densities"
99,2406.08553v1,"Proper time, Singularity, Thermal correlators, Higher point, Heavy scalar, Light scalar, Holographic CFT, Self-interactions, WKB approximations, Saddle point method"
100,2406.08538v1,"Supergluon scattering, AdS (Anti-de Sitter space), Recursive method, Amplitudes, Gluon, Constructibility, Factorizations, Flat-space limit, Mellin space, R-symmetry structures"
101,2406.08541v1,"Surface operators, Gauge theories, Chiral primary operator, N=4 super Yang-Mills, Correlation function, Yang-Mills coupling constant, Supergravity, AdS_5× S^5, Supersymmetric localization, S-duality"
102,2406.08485v1,"Celestial Topology, Symmetry Theories, D3-Brane CFT, QFT (Quantum Field Theory), String backgrounds, Dimensional reduction, Time dependent effects, Large N quiver gauge theories, Non-supersymmetric orbifold, Conformal fixed point"
103,2406.08422v1,"KSW criterion, large field models, analytic description, complex no-boundary solutions, inflation, Kontsevich-Segal-Witten criterion, small field models, inflaton potential, observable scales, inflationary phenomenology"
104,2406.08405v1,"Asymptotic density of states, Solvable models, Superstring models, Curved backgrounds, Target space, Closed formula, Curvature effects, Density of states, String theory, Mathematical physics"
105,2406.08309v2,"Dynamical Lorentz Symmetry Breaking, Scale-free Theory of Gravity, Renormalization, Quadratic Gravity, Bumblebee Field, Renormalization Group Functions, Effective Potential, Coleman-Weinberg Mechanism, Scale Invariance, Einstein-Hilbert Term"
106,2406.07988v1,"Holographic superfluid, Topological defects, Dynamical phase transition, AdS/CFT correspondence, Josephson junction, Charge density, Condensate, Equilibrium state, Gauge-invariant velocity, Superconducting states"
107,2406.07836v1,"Quantum fluctuation, Worldsheet, Probe string, BTZ black hole, Hawking radiation, String field theory, Boundary conformal field theory, Correlation function, Schrödinger functional, Complexity growth"
108,2406.07829v1,"Quantum Hamilton-Jacobi Theory, Path Integrals, Hamilton-Jacobi Theory, Canonical Transformation, Quantum Hamilton's Characteristic Functions, Spectral Path Integral, Exact WKB Analysis, Differential Equations, ℤ_2 Symmetric, Instanton Effects"
109,2406.07629v1,"Exact lattice bosonization, Matrix quantum mechanics, Non-relativistic fermions, Bosonic oscillators, Hamiltonian, Entanglement entropy, Fermion density fluctuations, Fermi surface, Double scaled c=1 model, D0 branes"
110,2406.07617v1,"Chiral separation effect (CSE), QCD (Quantum Chromodynamics), Gauge/gravity duality, Chiral anomalies, Axial U(1) anomaly, Conductivity, Radiative corrections, Temperature and density dependence, V-QCD (variant of holographic QCD model), Lattice QCD simulations"
111,2406.07614v1,"Cosmological Chameleons, String Theory, Transient phase, Scalar potential, Moduli space, Heavy states, Acceleration, E-folds, Field excursions, String Theory embeddings"
112,2406.07609v1,"Spin-refined partition functions, AdS/CFT, Gravitational path integrals, Phase diagrams, Finite temperature, Microstates, 𝒞ℛ𝒯-twisted black holes, Spacetime dimensions, Microcanonical ensemble, Rotating black holes"
113,2406.07610v1,"Infrared divergences, De Sitter spacetime, Correlation functions, Perturbation theory, Scale factor, Dimensional regularization, Vertex, Counterterms, Wilsonian perspective, Physical cutoffs"
114,2406.07604v1,"Gravitational waves, S-matrix, Graviton, Soft pole, Supertranslation symmetry, Asymptotic infinity, Geroch symmetry, Memory effect, Manifestation, Simplicity"
115,2406.07606v1,"String loops, Gravitational positivity bounds, Effective field theories, 2→ 2 scattering, Light particles, Infrared-sensitive, String-inspired model, Unitarity, Regge behavior, Positivity violations"
116,2406.07458v1,"Holographic conformal field theories (CFTs), Null-state equations, Near-lightcone expansion, Multi-stress tensor contributions, Heavy-light four-point correlator, Thermal two-point correlator, Conformal bootstrap, Virasoro vacuum block, Complex frequency domain, Spherical black hole"
117,2406.07434v1,"RE-algebras, quasi-determinants, Toda system, Gelfand and Retakh, noncommutative Dieudonne determinant, RTT algebra, quantum determinant, Drinfeld R-matrix, integrals, quantum field theories"
118,2406.07395v1,"Holographic reconstruction, Black hole spacetime, Machine learning, Entanglement entropy, AdS black hole, Neural ordinary differential equations, Monte-Carlo integration, Isotropic bulk metric, Gubser-Rocha model, Fermionic tight-binding chain"
119,2406.07334v1,"Fractonic solids, Quasiparticles, Symmetries, Mobility, Physical material, Symmetry principle, Motion restriction, Gauge invariance, Boost symmetry, Gravity couplings"
120,2406.07134v1,"Line defects, Cohomological Hall Algebras, Four-dimensional Supersymmetric Quantum Field Theory, BPS line defects, Coulomb vacuum, Algebra of BPS particles, Monoidal functor, Bimodules, Simple objects, Monoidal category"
121,2406.07101v1,"Quantum Corner Symmetry, Representations, Gluing, Corner symmetry algebra, Gravity, Central extensions, Quantum properties, Unitary irreducible representation, Casimirs, Entangling product"
122,2406.06996v1,"Wigner function, Chiral kinetic theory, Quantum kinetic equation, Lorentz symmetry, CPT symmetry, Dirac equation, Semiclassical, Chiral currents, Anomalous magnetic, Quantum Electrodynamics"
123,2406.06961v1,"Non-Hermitian, Transition matrix, Gravity dual, Euclidean path integrals, Quantum field theories, Density matrices, AdS/CFT correspondence, Thermofield concept, Black hole entropy, Pseudoentropy"
124,2406.06923v2,"Starobinsky inflation, Swampland conjectures, V, theoretical physics, cosmology, inflation model, conjectures, Swampland program, theoretical physicist, cosmological ideas"
125,2406.07586v1,"Supersymmetric trinification models, D6-branes, Type IIA string theory, U(3)C×U(3)L×U(3)R gauge group, 𝐓^6/(ℤ_2×ℤ_2) orientifold, K-theory conditions, Tadpole cancellation conditions, Four-family models, Wrapping number, String-scale gauge coupling relations"
126,2406.06875v1,"Quantum gravity, Euclidean Jackiw-Teitelboim model, Matrix model, Negative curvature, Positive curvature, Schwarzian theory, Cosmological constant, UV description, Discretized approach, Self-overlapping curves"
127,2406.06862v1,"Dispersive interaction, Two atoms, Proca Quantum Electrodynamics, Massive photon, Longitudinal polarization, Electromagnetic field, Interaction energy, Non-retarded approximation, Fundamental states, Interatomic distance"
128,2406.06704v1,"Kahler moduli space, 6d (1, 0) supergravity theories, BPS string tensions, Chern-Simons coefficients, Effective Lagrangians, Kaluza-Klein reductions, CFTs (Conformal Field Theories), SCFTs (Supersymmetric Conformal Field Theories), Tensor multiplet, Swampland"
129,2406.06690v2,"Asymptotically flat space-time, Holography, Celestial Holography, Bulk time-ordered Green's function, Celestial amplitudes, Conformal primary basis, Shadow transformation, Celestial sphere, Boundary operators, Subleading soft graviton"
130,2406.06685v1,"Quasinormal modes, Spectral instabilities, Black hole pseudospectrum, Non-normal operator, Localising packets, Schwarzschild-AdS, Thermalisation times, Holographic plasmas, Event horizons, Spectral behavior"
131,2406.06686v1,"Covariant fracton theories, Lorentz invariance, Gauge field, BRST cohomological method, Anomalies, Diffeomorphisms, Polyforms, Higher-derivative scalar field theory, Global symmetry, Anticommuting scalar ghost field"
132,2406.06681v1,"Lorentz-invariant quantum field theories, Higher-dimensional operators, Superluminality, Closed time-like curves, Cauchy Horizon, Chronology protection, General Relativity, Quantum mechanical effects, Low energy quanta, Short-distance degrees of freedom"
133,2406.06447v1,"Flat space limit, AdS radius, CFT correlators, Scattering amplitudes, Conserved current, Charged vector operator, Conjugate, Abelian gauge field, Electromagnetic form factors, Infrared region"
134,2406.06358v2,"Field-Theoretic, Hodge theory, Abelian 1-form, 2-form gauge theories, Becchi-Rouet-Stora-Tyutin (BRST) formalism, Symmetry operators, de Rham cohomological operators, Algebraic level, Odd dimensional, Differential geometry"
135,2406.06194v2,"Dirac spinors, Keldysh QFT formulation, Hamiltonian, S-matrix, Out-of-time-order correlators, Fock space, Negative energy states, Gravity, Bosonic and fermionic particles, Dark energy/dark matter"
